date,name,author,risk_score,severity,tactic,technique,subtechnique
2023/09/01,Powershell Execution via a BAT file,['Jarrett Sams'],25,low,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
2023/10/01,Suspicious File Written to Temp Directory,['Jarrett Sams'],25,low,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
2023/08/01,Data Exfiltration Observed via FTP,['Jarrett Sams'],89,high,Exfiltration,T1020 - Automated Exfiltration,none - none
2023/09/01,Potential Metasploit/MSFvenom Payload Observed,['Jarrett Sams'],100,critical,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
2023/08/01,Excessive Web Traffic,['Jarrett Sams'],47,medium,Discovery,T1046 - Network Service Discovery,none - none
2023/10/01,Web Scanner Activity - Nmap and Nikto,['Jarrett Sams'],25,low,Discovery,T1046 - Network Service Discovery,none - none
2023/08/01,Data Archived for Potential Exfiltration,['Jarrett Sams'],69,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
2023/09/01,Powershell Invoke-WebRequest Function downloading a BAT file,['Jarrett Sams'],25,low,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
2023/10/01,Suspicious File Added to Registry,['Jarrett Sams'],77,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
2023/08/11,Bat files observed in HTTP traffic on Unusual Port,['Jarrett Sams'],13,low,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
